1438,10,الروضة,Residential,Land,مخطط/37/ 1,قطعة 441,6577895,1200000,687.5,1745.0,Dammam,1438/11/17,الروضة,شرق الدمام
1438,11,الروضة,Residential,Land,مخطط/37/ 1,قطعة 465,6636371,900000,525.0,1714.0,Dammam,1438/12/22,الروضة,شرق الدمام
1438,7,الروضة,Commercial,Land,مخطط/37/ 1,عدد العقارات 2-أول ق…,6444066,2250000,1380.22,1630.0,Dammam,1438/08/28,الروضة,شرق الدمام
1438,7,الروضة,Residential,Land,مخطط/77,عدد العقارات 2-أول ق…,6443287,1350000,800.0,1688.0,Dammam,1438/08/28,الروضة,شرق الدمام
1437,3,الروضة,Residential,Land,مخطط/77,قطعة 148/ب,5200536,1130000,400.0,2825.0,Dammam,1437/04/29,الروضة,شرق الدمام
1437,3,الصفا,Residential,Land,مخطط/61,قطعة 120,5063025,237500,500.0,475.0,Dammam,1437/04/18,الصفا,شرق الدمام
1437,8,الصفا,Residential,Land,مخطط/644,قطعة 357/1,5600524,250000,419.62,596.0,Dammam,1437/09/24,الصفا,شرق الدمام
1437,9,الصفا,Residential,Land,مخطط/644,قطعة 470,5660090,921600,768.0,1200.0,Dammam,1437/10/28,الصفا,شرق الدمام
1438,9,الصفا,Residential,Land,مخطط/61/ 1,قطعة 52,6517019,652800,494.0,1321.0,Dammam,1438/10/24,الصفا,شرق الدمام
1437,0,الصفا,Commercial,Land,مخطط/61,قطعة 401/2,4867017,500000,325.0,1538.0,Dammam,1437/01/08,الصفا,شرق الدمام
1437,0,الصفا,Residential,Land,مخطط/644,قطعة 220,4883709,1409250,900.12,1566.0,Dammam,1437/01/14,الصفا,شرق الدمام
1437,8,الصفا,Residential,Land,مخطط/644,قطعة 28,5584133,1400000,735.0,1905.0,Dammam,1437/09/16,الصفا,شرق الدمام
1438,11,الصفا,Commercial,Land,مخطط/61/ 1,قطعة 2,6618616,1343728,677.3,1984.0,Dammam,1438/12/01,الصفا,شرق الدمام
1437,5,الصفا,Commercial,Land,مخطط/61,قطعة 595,5335259,1100000,512.5,2146.0,Dammam,1437/06/15,الصفا,شرق الدمام
1437,5,الصفا,Commercial,Land,مخطط/644,قطعة 27,5311225,1763640,852.0,2070.0,Dammam,1437/06/06,الصفا,شرق الدمام
1438,0,الصفا,Residential,Land,مخطط/644/ 1,قطعة 478/1,5805629,805000,398.21,2022.0,Dammam,1438/01/05,الصفا,شرق الدمام
1438,7,الصفا,Residential,Land,مخطط/644/ 1,قطعة 150/1,6428187,942407,464.39,2029.0,Dammam,1438/08/22,الصفا,شرق الدمام
1438,8,الصفا,Residential,Land,مخطط/61/ 1,قطعة 687/2,6458939,825000,397.5,2075.0,Dammam,1438/09/05,الصفا,شرق الدمام
1438,9,الصفا,Residential,Land,مخطط/61/ 1,قطعة 158,6493652,1102500,525.0,2100.0,Dammam,1438/10/15,الصفا,شرق الدمام
1438,9,الصفا,Residential,Land,مخطط/61/ 1,قطعة 160,6493690,1102500,525.0,2100.0,Dammam,1438/10/15,الصفا,شرق الدمام
1438,9,الصفا,Residential,Land,مخطط/61/ 1,قطعة 162,6493704,1102500,525.0,2100.0,Dammam,1438/10/15,الصفا,شرق الدمام
1437,9,الصفا,Residential,Land,مخطط/644,قطعة 409,5654514,1712350,744.5,2300.0,Dammam,1437/10/27,الصفا,شرق الدمام
1438,5,الصفا,Commercial,Land,مخطط/61/ 1,عدد العقارات 2-أول ق…,6217260,2511000,1148.42,2186.0,Dammam,1438/06/07,الصفا,شرق الدمام
1437,8,الصفا,Commercial,Land,مخطط/644,قطعة 54,5576923,2100000,875.0,2400.0,Dammam,1437/09/14,الصفا,شرق الدمام
1437,8,الصفا,Residential,Land,مخطط/61,قطعة 245,5571460,1233750,525.0,2350.0,Dammam,1437/09/10,الصفا,شرق الدمام
1438,10,الصفا,Residential,Land,مخطط/أخرى,قطعة بدون,6590373,700000,273.35,2561.0,Dammam,1438/11/22,الصفا,شرق الدمام
1437,2,الصفا,Commercial,Land,مخطط/61,عدد العقارات 2-أول ق…,5108832,2685481,1053.13,2550.0,Dammam,1437/03/27,الصفا,شرق الدمام
1438,0,الصفا,Residential,Land,مخطط/644/ 1,قطعة خ2,5835341,25705320,10160.85,2530.0,Dammam,1438/01/17,الصفا,شرق الدمام
1438,7,الصفا,Residential,Land,مخطط/61/ 1,قطعة 107,6386618,1500000,575.17,2608.0,Dammam,1438/08/08,الصفا,شرق الدمام
1437,9,الصفا,Residential,Land,مخطط/644,قطعة 411,5605925,4400000,750.0,5867.0,Dammam,1437/10/07,الصفا,شرق الدمام
1438,5,الصفا,Commercial,Land,مخطط/61/ 1,عدد العقارات 2-أول ق…,6208659,6300000,1053.13,5982.0,Dammam,1438/06/03,الصفا,شرق الدمام
1437,10,العنود,Residential,Land,مخطط/134,قطعة 321,5679802,1000000,832.0,1202.0,Dammam,1437/11/06,العنود,وسط الدمام
1437,10,العنود,Residential,Land,مخطط/134,قطعة 323,5679771,1000000,570.0,1754.0,Dammam,1437/11/06,العنود,وسط الدمام
1437,10,العنود,Residential,Land,مخطط/134,عدد العقارات 4-أول ق…,5679759,2000000,2511.75,796.0,Dammam,1437/11/06,العنود,وسط الدمام
1437,10,العنود,Residential,Land,مخطط/216,قطعة 26,5735538,500000,500.0,1000.0,Dammam,1437/11/28,العنود,وسط الدمام
1437,6,العنود,Residential,Land,مخطط/216,قطعة 53,5460056,1250000,600.0,2083.0,Dammam,1437/07/28,العنود,وسط الدمام
1437,6,العنود,Residential,Land,مخطط/246,قطعة 112,5442880,100000,831.9,120.0,Dammam,1437/07/24,العنود,وسط الدمام
1437,7,العنود,Commercial,Land,مخطط/411,قطعة 15,5516082,3920000,1171.07,3347.0,Dammam,1437/08/17,العنود,وسط الدمام
1437,7,العنود,Residential,Land,مخطط/411,قطعة 23,5510497,5972500,1194.5,5000.0,Dammam,1437/08/18,العنود,وسط الدمام
1437,8,العنود,Residential,Land,مخطط/134,قطعة 220,5594017,800000,600.0,1333.0,Dammam,1437/09/21,العنود,وسط الدمام
1437,8,العنود,Residential,Land,مخطط/411,قطعة 45,5553807,1000000,588.92,1698.0,Dammam,1437/09/02,العنود,وسط الدمام
1438,2,العنود,Residential,Land,مخطط/134/ 1,قطعة 243,6005670,65000,600.0,108.0,Dammam,1438/03/23,العنود,وسط الدمام
1438,2,العنود,Residential,Land,مخطط/134/ 1,قطعة 390,6002229,1400000,600.0,2333.0,Dammam,1438/03/22,العنود,وسط الدمام
1438,2,العنود,Residential,Land,مخطط/471/ 1,قطعة 19,6006314,2750000,1207.15,2278.0,Dammam,1438/03/23,العنود,وسط الدمام
1438,3,العنود,Residential,Land,مخطط/134/ 1,قطعة 252,6061232,250000,600.0,417.0,Dammam,1438/04/13,العنود,وسط الدمام
1438,3,العنود,Residential,Land,مخطط/134/ 1,قطعة 295,6044679,100000,600.0,167.0,Dammam,1438/04/07,العنود,وسط الدمام
1438,4,العنود,Residential,Land,مخطط/411/ 1,قطعة 66,6150046,700000,600.0,1167.0,Dammam,1438/05/15,العنود,وسط الدمام
1438,5,العنود,Residential,Land,مخطط/246/ 1,عدد العقارات 4-أول ق…,6234301,800000,2953.4,271.0,Dammam,1438/06/13,العنود,وسط الدمام
1438,5,العنود,Residential,Land,مخطط/411/ 1,قطعة 21,6261639,100000,1583.56,63.0,Dammam,1438/06/22,العنود,وسط الدمام
1438,5,العنود,Residential,Land,مخطط/411/ 1,قطعة 27,6239002,500000,600.0,833.0,Dammam,1438/06/14,العنود,وسط الدمام
1438,7,العنود,Residential,Land,مخطط/246/ 1,قطعة 24,6415264,423100,600.0,705.0,Dammam,1438/08/19,العنود,وسط الدمام
1438,7,العنود,Residential,Land,مخطط/246/ 1,قطعة 26,6415330,423100,600.0,705.0,Dammam,1438/08/19,العنود,وسط الدمام
1438,7,العنود,Residential,Land,مخطط/471/ 1,قطعة 67,6412293,800000,700.0,1143.0,Dammam,1438/08/18,العنود,وسط الدمام
1438,9,العنود,Residential,Land,مخطط/134/ 1,قطعة 403,6523318,1400000,600.0,2333.0,Dammam,1438/10/25,العنود,وسط الدمام
1438,10,ميناء الملك عبدالعزيز,Commercial,Land,مخطط/239/ 1,عدد العقارات 10-أول…,6613348,8000000,7543.33,1061.0,Dammam,1438/11/30,ميناء الملك عبد العزيز,شرق الدمام
1438,0,النهضه,Commercial,Land,مخطط/603/ 1,قطعة 51,5825958,441755,1200.0,368.0,Dammam,1438/01/15,النهضة,شرق الدمام
1437,1,النهضه,Residential,Land,مخطط/603,قطعة 180,4979524,334000,869.5,384.0,Dammam,1437/02/12,النهضة,شرق الدمام
1438,5,النهضة,Residential,Land,مخطط/1097 ش د,قطعة 463/1,6267223,500000,794.5,629.0,Dammam,1438/06/23,النهضة,شرق الدمام
1438,8,النهضة,Residential,Land,مخطط/1097 ش د,عدد العقارات 6-أول ق…,6489831,6500000,10500.0,619.0,Dammam,1438/09/20,النهضة,شرق الدمام
1437,1,النهضه,Residential,Land,مخطط/603,قطعة 17,4988627,634579,960.0,661.0,Dammam,1437/02/17,النهضة,شرق الدمام
1437,10,النهضة,Residential,Land,مخطط/1097 ش د,قطعة 376,5700512,500000,735.0,680.0,Dammam,1437/11/13,النهضة,شرق الدمام
1437,3,النهضة,Commercial,Land,مخطط/1097 ش د,عدد العقارات 12-أول…,5121027,19397313,28736.76,675.0,Dammam,1437/04/03,النهضة,شرق الدمام
1438,7,النهضة,Residential,Land,مخطط/1097 ش د,عدد العقارات 12-أول…,6440054,7530117,10507.14,717.0,Dammam,1438/08/27,النهضة,شرق الدمام
1438,6,النهضه,Residential,Land,مخطط/603/ 1,قطعة 184,6323600,679229,870.5,780.0,Dammam,1438/07/15,النهضة,شرق الدمام
1437,4,النهضه,Commercial,Land,مخطط/603,قطعة 211,5266820,834350,1040.0,802.0,Dammam,1437/05/20,النهضة,شرق الدمام
1438,5,النهضه,Residential,Land,مخطط/603/ 1,قطعة 326,6229699,760242,892.5,852.0,Dammam,1438/06/10,النهضة,شرق الدمام
1438,5,النهضه,Residential,Land,مخطط/603/ 1,قطعة 327,6229755,760242,892.5,852.0,Dammam,1438/06/10,النهضة,شرق الدمام
1438,5,النهضه,Residential,Land,مخطط/603/ 1,قطعة 328,6229484,763526,892.5,855.0,Dammam,1438/06/10,النهضة,شرق الدمام
1438,5,النهضه,Residential,Land,مخطط/603/ 1,قطعة 329,6229550,763526,892.5,855.0,Dammam,1438/06/10,النهضة,شرق الدمام
1437,7,النهضه,Commercial,Land,مخطط/603,قطعة 214,5478484,1207430,1220.38,989.0,Dammam,1437/08/05,النهضة,شرق الدمام
1438,8,النهضة,Residential,Land,مخطط/1097 ش د,عدد العقارات 10-أول…,6456915,22197982,23207.57,956.0,Dammam,1438/09/04,النهضة,شرق الدمام
1438,10,النهضة,Commercial,Land,مخطط/1097 ش د,قطعة 199/1,6614132,889895,881.27,1010.0,Dammam,1438/11/30,النهضة,شرق الدمام
1438,10,النهضة,Commercial,Land,مخطط/1097 ش د,قطعة 200/1,6614092,950805,899.55,1057.0,Dammam,1438/11/30,النهضة,شرق الدمام
1437,7,النهضة,Residential,Land,مخطط/1097 ش د,قطعة 112,5488339,833000,700.0,1190.0,Dammam,1437/08/09,النهضة,شرق الدمام
1437,8,النهضه,Commercial,Land,مخطط/603,قطعة 214/1,5587312,981468,850.88,1153.0,Dammam,1437/09/17,النهضة,شرق الدمام
1437,1,النهضه,Residential,Land,مخطط/603,قطعة 72,4988324,962392,735.0,1309.0,Dammam,1437/02/17,النهضة,شرق الدمام
1438,10,النهضة,Residential,Land,مخطط/1097 ش د,قطعة 63,6542075,783497,603.22,1299.0,Dammam,1438/11/03,النهضة,شرق الدمام
1438,10,النهضه,Residential,Land,مخطط/603/ 1,قطعة 159,6543024,1137500,875.0,1300.0,Dammam,1438/11/04,النهضة,شرق الدمام
1438,6,النهضة,Residential,Land,مخطط/1097 ش د,قطعة 61,6340672,780000,603.22,1293.0,Dammam,1438/07/22,النهضة,شرق الدمام
1438,6,النهضه,Residential,Land,مخطط/603/ 1,قطعة خ4,6294569,1142576,900.0,1270.0,Dammam,1438/07/05,النهضة,شرق الدمام
1438,8,النهضة,Commercial,Land,مخطط/1097 ش د,عدد العقارات 11-أول…,6452695,10169045,8208.82,1239.0,Dammam,1438/09/02,النهضة,شرق الدمام
1437,0,النهضة,Commercial,Land,مخطط/1097 ش د,عدد العقارات 10-أول…,4843200,9545270,6818.05,1400.0,Dammam,1437/01/01,النهضة,شرق الدمام
1437,0,النهضة,Residential,Land,مخطط/1097 ش د,عدد العقارات 10-أول…,4843182,8464642,6044.03,1400.0,Dammam,1437/01/01,النهضة,شرق الدمام
1437,6,النهضة,Residential,Land,مخطط/1097 ش د,قطعة 221/2,5438643,503625,375.0,1343.0,Dammam,1437/07/21,النهضة,شرق الدمام
1437,6,النهضة,Residential,Land,مخطط/1097 ش د,قطعة 235/1,5438572,523770,390.0,1343.0,Dammam,1437/07/21,النهضة,شرق الدمام
1437,6,النهضة,Residential,Land,مخطط/1097 ش د,قطعة 240/2,5438604,523770,390.0,1343.0,Dammam,1437/07/21,النهضة,شرق الدمام
1437,6,النهضة,Residential,Land,مخطط/1097 ش د,قطعة 371/2,5438612,503625,375.0,1343.0,Dammam,1437/07/21,النهضة,شرق الدمام
1438,10,النهضة,Residential,Land,مخطط/1097 ش د,قطعة 54,6581013,828225,613.53,1350.0,Dammam,1438/11/18,النهضة,شرق الدمام
1438,3,النهضة,Residential,Land,مخطط/1097 ش د,قطعة 241/1,6093276,533625,390.0,1368.0,Dammam,1438/04/25,النهضة,شرق الدمام
1438,5,النهضة,Residential,Land,مخطط/1097 ش د,قطعة 433/1,6281933,840000,600.0,1400.0,Dammam,1438/06/29,النهضة,شرق الدمام
1438,5,النهضه,Residential,Land,مخطط/603/ 1,قطعة 189/1,6199181,500000,375.0,1333.0,Dammam,1438/06/01,النهضة,شرق الدمام
1438,8,النهضة,Residential,Land,مخطط/1097 ش د,عدد العقارات 12-أول…,6452759,10423271,7608.41,1370.0,Dammam,1438/09/02,النهضة,شرق الدمام
1438,8,النهضة,Residential,Land,مخطط/1097 ش د,عدد العقارات 12-أول…,6477758,13763400,9831.0,1400.0,Dammam,1438/09/16,النهضة,شرق الدمام
1438,8,النهضة,Residential,Land,مخطط/1097 ش د,عدد العقارات 19-أول…,6477863,19586097,14508.22,1350.0,Dammam,1438/09/16,النهضة,شرق الدمام
1438,8,النهضة,Residential,Land,مخطط/1097 ش د,عدد العقارات 20-أول…,6477902,18189995,13474.07,1350.0,Dammam,1438/09/16,النهضة,شرق الدمام
1437,1,النهضة,Residential,Land,مخطط/1097 ش د,قطعة 257,4978640,1888904,1272.32,1485.0,Dammam,1437/02/12,النهضة,شرق الدمام
1437,1,النهضة,Residential,Land,مخطط/1097 ش د,قطعة 258,4950287,1642835,1132.99,1450.0,Dammam,1437/02/04,النهضة,شرق الدمام
1437,11,النهضة,Residential,Land,مخطط/1097 ش د,قطعة 241/2,5766862,581670,390.0,1491.0,Dammam,1437/12/20,النهضة,شرق الدمام
1437,3,النهضة,Residential,Land,مخطط/1097 ش د,عدد العقارات 11-أول…,5144479,12473085,8315.39,1500.0,Dammam,1437/04/10,النهضة,شرق الدمام
1437,3,النهضة,Residential,Land,مخطط/1097 ش د,عدد العقارات 13-أول…,5144428,14732160,9821.44,1500.0,Dammam,1437/04/10,النهضة,شرق الدمام
1437,7,النهضة,Residential,Land,مخطط/1097 ش د,قطعة 380,5476137,1102500,735.0,1500.0,Dammam,1437/08/04,النهضة,شرق الدمام
1437,8,النهضة,Residential,Land,مخطط/1097 ش د,قطعة 245,5584558,1514757,1055.58,1435.0,Dammam,1437/09/16,النهضة,شرق الدمام
1437,8,النهضة,Residential,Land,مخطط/1097 ش د,قطعة 638/2,5598207,588899,390.0,1510.0,Dammam,1437/09/23,النهضة,شرق الدمام
1437,9,النهضة,Residential,Land,مخطط/1097 ش د,قطعة 374,5652794,1102500,735.0,1500.0,Dammam,1437/10/26,النهضة,شرق الدمام
1437,9,النهضة,Residential,Land,مخطط/1097 ش د,قطعة 645/1,5663814,588899,390.0,1510.0,Dammam,1437/10/29,النهضة,شرق الدمام
1438,1,النهضة,Residential,Land,مخطط/1097 ش د,قطعة 246/1/2,5898673,720000,485.06,1484.0,Dammam,1438/02/10,النهضة,شرق الدمام
1438,10,النهضة,Commercial,Land,مخطط/1097 ش د,عدد العقارات 12-أول…,6574086,12089000,8150.13,1483.0,Dammam,1438/11/16,النهضة,شرق الدمام
1438,10,النهضة,Residential,Land,مخطط/1097 ش د,قطعة 186,6551393,1155000,770.0,1500.0,Dammam,1438/11/08,النهضة,شرق الدمام
1438,10,النهضة,Residential,Land,مخطط/1097 ش د,قطعة 188,6579703,1155000,770.0,1500.0,Dammam,1438/11/17,النهضة,شرق الدمام
1438,10,النهضة,Residential,Land,مخطط/1097 ش د,قطعة 431/1,6553470,1044000,720.0,1450.0,Dammam,1438/11/08,النهضة,شرق الدمام
1438,10,النهضة,Residential,Land,مخطط/1097 ش د,عدد العقارات 12-أول…,6574019,10911000,7524.93,1450.0,Dammam,1438/11/16,النهضة,شرق الدمام
1438,11,النهضه,Residential,Land,مخطط/603/ 1,قطعة 75,6625150,1060000,730.5,1451.0,Dammam,1438/12/20,النهضة,شرق الدمام
1438,2,النهضة,Residential,Land,مخطط/1097 ش د,قطعة 627/2,5995354,588898,390.0,1510.0,Dammam,1438/03/20,النهضة,شرق الدمام
1438,4,النهضة,Residential,Land,مخطط/1097 ش د,قطعة 594/1,6166449,588901,390.0,1510.0,Dammam,1438/05/19,النهضة,شرق الدمام
1438,4,النهضة,Residential,Land,مخطط/1097 ش د,قطعة 596/1,6166390,588901,390.0,1510.0,Dammam,1438/05/19,النهضة,شرق الدمام
1438,4,النهضة,Residential,Land,مخطط/1097 ش د,قطعة 597/1,6182524,588901,390.0,1510.0,Dammam,1438/05/25,النهضة,شرق الدمام
1438,4,النهضة,Residential,Land,مخطط/1097 ش د,قطعة 597/2,6182511,588901,390.0,1510.0,Dammam,1438/05/25,النهضة,شرق الدمام
1438,4,النهضة,Residential,Land,مخطط/1097 ش د,قطعة 598/1,6182470,588901,390.0,1510.0,Dammam,1438/05/25,النهضة,شرق الدمام
1438,4,النهضة,Residential,Land,مخطط/1097 ش د,قطعة 603/2,6166383,453001,300.0,1510.0,Dammam,1438/05/19,النهضة,شرق الدمام
1438,4,النهضة,Residential,Land,مخطط/1097 ش د,قطعة 604/1,6166322,453001,300.0,1510.0,Dammam,1438/05/19,النهضة,شرق الدمام
1438,4,النهضة,Residential,Land,مخطط/1097 ش د,قطعة 604/2,6185851,453001,300.0,1510.0,Dammam,1438/05/26,النهضة,شرق الدمام
1438,4,النهضة,Residential,Land,مخطط/1097 ش د,قطعة 606/1,6185869,588901,390.0,1510.0,Dammam,1438/05/26,النهضة,شرق الدمام
1438,4,النهضة,Residential,Land,مخطط/1097 ش د,قطعة 606/2,6185912,588901,390.0,1510.0,Dammam,1438/05/26,النهضة,شرق الدمام
1438,4,النهضة,Residential,Land,مخطط/1097 ش د,قطعة 607/1,6185951,588901,390.0,1510.0,Dammam,1438/05/26,النهضة,شرق الدمام
1438,4,النهضة,Residential,Land,مخطط/1097 ش د,قطعة 607/2,6186031,588901,390.0,1510.0,Dammam,1438/05/26,النهضة,شرق الدمام
1438,4,النهضة,Residential,Land,مخطط/1097 ش د,قطعة 608/1,6186067,588901,390.0,1510.0,Dammam,1438/05/26,النهضة,شرق الدمام
1438,4,النهضة,Residential,Land,مخطط/1097 ش د,قطعة 608/2,6186084,588901,390.0,1510.0,Dammam,1438/05/26,النهضة,شرق الدمام
1438,4,النهضة,Residential,Land,مخطط/1097 ش د,قطعة 609/1,6186136,588901,390.0,1510.0,Dammam,1438/05/26,النهضة,شرق الدمام
1438,4,النهضة,Residential,Land,مخطط/1097 ش د,قطعة 609/2,6186176,588901,390.0,1510.0,Dammam,1438/05/26,النهضة,شرق الدمام
1438,4,النهضة,Residential,Land,مخطط/1097 ش د,قطعة 610/1,6186228,588901,390.0,1510.0,Dammam,1438/05/26,النهضة,شرق الدمام
1438,4,النهضة,Residential,Land,مخطط/1097 ش د,قطعة 612/2,6182560,588901,390.0,1510.0,Dammam,1438/05/25,النهضة,شرق الدمام
1438,4,النهضة,Residential,Land,مخطط/1097 ش د,قطعة 626/2,6159825,588900,390.0,1510.0,Dammam,1438/05/17,النهضة,شرق الدمام
1438,4,النهضة,Residential,Land,مخطط/1097 ش د,قطعة 627/1,6159776,580595,384.5,1510.0,Dammam,1438/05/17,النهضة,شرق الدمام
